listing_id,dayname,price
1223683,Wednesday,273.0
1235531,Friday,89.0
1235531,Monday,89.0
1235531,Saturday,89.0
1235531,Sunday,89.0
1235531,Thursday,89.0
1235531,Tuesday,89.0
1235531,Wednesday,89.0
1243512,Friday,1285.0
1243512,Monday,1285.0
1243512,Saturday,1285.0
1243512,Sunday,1285.0
1243512,Thursday,1285.0
1243512,Tuesday,1285.0
1243512,Wednesday,1285.0
1297717,Friday,57.0
1297717,Monday,57.0
1297717,Saturday,57.0
1297717,Sunday,57.0
1297717,Thursday,57.0
1297717,Tuesday,57.0
1297717,Wednesday,57.0
1312301,Friday,95.0
1312301,Monday,79.0
1312301,Saturday,95.0
1312301,Sunday,79.0
1312301,Thursday,79.0
1312301,Tuesday,79.0
1312301,Wednesday,79.0
1325364,Friday,51.03846153846154
1325364,Monday,50.03846153846154
1325364,Saturday,51.30769230769231
1325364,Sunday,50.13461538461539
1325364,Thursday,50.113207547169814
1325364,Tuesday,50.05769230769231
1325364,Wednesday,50.07692307692308
1392363,Friday,177.96153846153845
1392363,Monday,129.17307692307693
1392363,Saturday,180.73076923076923
1392363,Sunday,134.6346153846154
1392363,Thursday,135.96226415094338
1392363,Tuesday,126.01923076923077
1392363,Wednesday,126.34615384615384
1393012,Friday,80.0
1393012,Monday,80.0
1393012,Saturday,80.0
1393012,Sunday,80.0
1393012,Thursday,80.0
1393012,Tuesday,80.0
1393012,Wednesday,80.0
1421061,Friday,120.0
1421061,Monday,125.0
1421061,Saturday,120.0
1421061,Sunday,125.0
1421061,Thursday,125.0
1421061,Tuesday,125.0
1421061,Wednesday,125.0
1475299,Friday,193.17307692307693
1475299,Monday,192.98076923076923
1475299,Saturday,193.23076923076923
1475299,Sunday,192.92307692307693
1475299,Thursday,194.54716981132074
1475299,Tuesday,195.67307692307693
1475299,Wednesday,195.75
1497710,Friday,125.0
1497710,Monday,125.0
1497710,Saturday,125.0
1497710,Sunday,125.0
1497710,Thursday,125.0
1497710,Tuesday,125.0
1497710,Wednesday,125.0
1563004,Friday,85.0
1563004,Monday,85.0
1563004,Saturday,85.0
1563004,Sunday,85.0
1563004,Thursday,85.0
1563004,Tuesday,85.0
1563004,Wednesday,85.0
1569954,Friday,70.0
1569954,Monday,70.0
1569954,Saturday,70.0
1569954,Sunday,70.0
1569954,Thursday,70.0
1569954,Tuesday,70.0
1569954,Wednesday,70.0
1571095,Friday,79.0
1571095,Monday,79.0
1571095,Saturday,79.0
1571095,Sunday,79.0
1571095,Thursday,79.0
1571095,Tuesday,79.0
1571095,Wednesday,79.0
1574329,Friday,150.0
1574329,Monday,135.0
1574329,Saturday,150.0
1574329,Sunday,135.0
1574329,Thursday,135.0
1574329,Tuesday,135.0
1574329,Wednesday,135.0
1577750,Friday,89.0
1577750,Monday,44.0
1577750,Saturday,89.0
1577750,Sunday,44.0
1577750,Thursday,44.0
1577750,Tuesday,44.0
1577750,Wednesday,44.0
1578831,Friday,85.42307692307692
1578831,Monday,84.78846153846153
