,listing_id,monthname,price
352,874008,January,181.4516129032258
353,874008,July,180.80645161290323
354,874008,June,180.33333333333334
355,874008,March,180.16129032258064
356,874008,May,180.80645161290323
357,874008,November,180.33333333333334
358,874008,October,181.4516129032258
359,874008,September,180.33333333333334
360,875735,April,55.0
361,875735,August,55.0
362,875735,December,55.0
363,875735,February,55.0
364,875735,January,55.0
365,875735,July,55.16129032258065
366,875735,June,55.13333333333333
367,875735,March,55.0
368,875735,May,55.0
369,875735,November,55.0
370,875735,October,55.0
371,875735,September,55.0
372,881707,April,95.0
373,881707,August,95.0
374,881707,December,95.0
375,881707,February,95.0
376,881707,January,95.0
377,881707,July,95.0
378,881707,June,94.0
379,881707,March,95.0
380,881707,May,95.0
381,881707,November,95.0
382,881707,October,95.0
383,881707,September,95.0
384,942934,April,65.53333333333333
385,942934,August,56.32258064516129
386,942934,December,65.38709677419355
387,942934,February,65.35714285714286
388,942934,January,65.41935483870968
389,942934,July,56.87096774193548
390,942934,June,56.9
391,942934,March,65.2258064516129
392,942934,May,65.45161290322581
393,942934,November,57.96666666666667
394,942934,October,56.064516129032256
395,942934,September,56.53333333333333
396,943832,April,257.5
397,943832,August,257.258064516129
398,943832,December,256.4516129032258
399,943832,February,257.14285714285717
400,943832,January,258.06451612903226
401,943832,July,257.258064516129
402,943832,June,256.6666666666667
403,943832,March,256.4516129032258
404,943832,May,257.258064516129
405,943832,November,256.6666666666667
406,943832,October,258.06451612903226
407,943832,September,256.6666666666667
408,971003,April,145.0
409,971003,August,145.0
410,971003,December,145.0
411,971003,February,145.0
412,971003,January,145.0
413,971003,July,145.0
414,971003,June,145.0
415,971003,March,145.0
416,971003,May,145.0
417,971003,November,145.0
418,971003,October,145.0
419,971003,September,145.0
420,976034,April,151.0
421,976034,August,150.80645161290323
422,976034,December,150.16129032258064
423,976034,February,150.71428571428572
424,976034,January,151.4516129032258
425,976034,July,150.80645161290323
426,976034,June,150.33333333333334
427,976034,March,150.16129032258064
428,976034,May,150.80645161290323
429,976034,November,150.33333333333334
430,976034,October,151.4516129032258
431,976034,September,150.33333333333334
432,977054,April,130.0
433,977054,August,130.0
434,977054,December,130.0
435,977054,February,130.0
436,977054,January,130.0
437,977054,July,130.0
438,977054,June,130.0
439,977054,March,130.0
440,977054,May,130.0
441,977054,November,130.0
442,977054,October,130.0
443,977054,September,130.0
444,990426,April,334.06666666666666
445,990426,August,329.258064516129
446,990426,December,333.5483870967742
447,990426,February,333.85714285714283
448,990426,January,334.2903225806452
449,990426,July,329.1290322580645
450,990426,June,331.8666666666667
451,990426,March,333.48387096774195
452,990426,May,341.7096774193548
453,990426,November,333.6333333333333
454,990426,October,333.4193548387097
455,990426,September,330.6333333333333
456,992821,April,96.3
457,992821,August,75.74193548387096
458,992821,December,96.25806451612904
459,992821,February,96.28571428571429
460,992821,January,96.3225806451613
461,992821,July,77.38709677419355
462,992821,June,77.53333333333333
463,992821,March,96.25806451612904
464,992821,May,96.29032258064517
465,992821,November,80.66666666666667
466,992821,October,76.16129032258064
467,992821,September,75.6
468,1039028,April,100.5
469,1039028,August,100.16129032258064
470,1039028,December,99.03225806451613
471,1039028,February,100.0
472,1039028,January,101.29032258064517
473,1039028,July,100.16129032258064
474,1039028,June,99.33333333333333
475,1039028,March,99.03225806451613
476,1039028,May,100.16129032258064
477,1039028,November,99.33333333333333
478,1039028,October,101.29032258064517
479,1039028,September,99.33333333333333
480,1066156,April,146.0
481,1066156,August,142.4516129032258
482,1066156,December,142.0
483,1066156,February,142.0
484,1066156,January,142.0
485,1066156,July,142.5483870967742
486,1066156,June,142.2
487,1066156,March,142.8709677419355
488,1066156,May,145.90322580645162
489,1066156,November,142.0
490,1066156,October,154.25806451612902
491,1066156,September,143.13333333333333
492,1127777,April,60.3
493,1127777,August,60.0
494,1127777,December,60.25806451612903
495,1127777,February,60.285714285714285
496,1127777,January,60.32258064516129
497,1127777,July,60.12903225806452
498,1127777,June,60.0
499,1127777,March,60.25806451612903
500,1127777,May,60.29032258064516
501,1127777,November,60.0
502,1127777,October,60.0
503,1127777,September,60.0
504,1151149,April,72.0
505,1151149,August,72.0
506,1151149,December,72.0
507,1151149,February,72.0
508,1151149,January,72.0
509,1151149,July,72.0
510,1151149,June,72.0
511,1151149,March,72.0
512,1151149,May,72.0
513,1151149,November,72.0
514,1151149,October,72.0
515,1151149,September,72.0
516,1198090,April,106.0
517,1198090,August,105.3225806451613
518,1198090,December,103.06451612903226
519,1198090,February,105.0
520,1198090,January,85.64516129032258
521,1198090,July,105.3225806451613
522,1198090,June,103.66666666666667
523,1198090,March,103.06451612903226
524,1198090,May,107.58064516129032
525,1198090,November,103.66666666666667
526,1198090,October,107.58064516129032
527,1198090,September,103.66666666666667
528,1212352,April,112.16666666666667
529,1212352,August,88.0
530,1212352,December,112.16129032258064
531,1212352,February,112.14285714285714
532,1212352,January,112.12903225806451
533,1212352,July,88.0
534,1212352,June,90.43333333333334
535,1212352,March,112.12903225806451
536,1212352,May,112.12903225806451
537,1212352,November,110.26666666666667
538,1212352,October,104.41935483870968
